,Algo,Kernal,depthORk,TrainSize,TestSize,NotDeleted,Deleted,Time,TrainingResult,TestResult,F1_SCORE,Accuracy,JaccardScore,PRECISION,RECALL,"0,0","0,1","1,0","1,1"
86,DecisionTree,log_loss,2,338230,84558,,,2.323869228,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
87,DecisionTree,gini,2,338230,84558,,,2.014537096,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
88,DecisionTree,entropy,2,338230,84558,,,2.310360193,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
89,DecisionTree,log_loss,2,338230,84558,,,2.279392004,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
90,DecisionTree,gini,2,338230,84558,,,2.001531124,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
91,DecisionTree,entropy,2,338230,84558,,,2.268806458,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
92,DecisionTree,log_loss,2,338230,84558,,,2.278825045,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
93,DecisionTree,gini,2,338230,84558,,,2.013478041,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
94,DecisionTree,entropy,2,338230,84558,,,2.284338236,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
95,DecisionTree,log_loss,2,338230,84558,,,2.268093824,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
96,DecisionTree,gini,2,338230,84558,,,2.016026497,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
97,DecisionTree,entropy,2,338230,84558,,,2.281866312,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
98,DecisionTree,log_loss,2,338230,84558,,,2.279305458,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
99,DecisionTree,gini,2,338230,84558,,,2.000993729,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
100,DecisionTree,entropy,2,338230,84558,,,2.295273304,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
101,DecisionTree,log_loss,2,338230,84558,,,2.28086853,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
102,DecisionTree,gini,2,338230,84558,,,2.021705866,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
103,DecisionTree,entropy,2,338230,84558,,,2.283351421,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
104,DecisionTree,log_loss,2,338230,84558,,,2.2848804,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
105,DecisionTree,gini,2,338230,84558,,,2.019018412,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
106,DecisionTree,entropy,2,338230,84558,,,2.288241148,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
107,DecisionTree,log_loss,2,338230,84558,,,2.280236006,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
108,DecisionTree,gini,2,338230,84558,,,2.036088467,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
109,DecisionTree,entropy,2,338230,84558,,,2.300568342,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
110,DecisionTree,log_loss,2,338230,84558,,,2.252433777,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
111,DecisionTree,gini,2,338230,84558,,,2.02756834,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
112,DecisionTree,entropy,2,338230,84558,,,2.330413103,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
113,DecisionTree,log_loss,2,338230,84558,,,2.294368267,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
114,DecisionTree,gini,2,338230,84558,,,2.005868673,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
115,DecisionTree,entropy,2,338230,84558,,,2.289773941,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
116,DecisionTree,log_loss,2,338230,84558,,,2.268792152,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
117,DecisionTree,gini,2,338230,84558,,,1.998496532,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
118,DecisionTree,entropy,2,338230,84558,,,2.268339396,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
119,DecisionTree,log_loss,2,338230,84558,,,2.291799545,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
120,DecisionTree,gini,3,338230,84558,,,2.890386581,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
121,DecisionTree,entropy,3,338230,84558,,,3.311244726,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
122,DecisionTree,log_loss,3,338230,84558,,,3.320449352,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
123,DecisionTree,gini,3,338230,84558,,,2.871426582,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
124,DecisionTree,entropy,3,338230,84558,,,3.322798491,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
125,DecisionTree,log_loss,3,338230,84558,,,3.341816902,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
126,DecisionTree,gini,3,338230,84558,,,2.894622564,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
127,DecisionTree,entropy,3,338230,84558,,,3.29234457,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
128,DecisionTree,log_loss,3,338230,84558,,,3.302288294,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
129,DecisionTree,gini,3,338230,84558,,,2.906900883,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
130,DecisionTree,entropy,3,338230,84558,,,3.300617218,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
131,DecisionTree,log_loss,3,338230,84558,,,3.439510107,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
132,DecisionTree,gini,3,338230,84558,,,2.883262634,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
133,DecisionTree,entropy,3,338230,84558,,,3.346841812,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
134,DecisionTree,log_loss,3,338230,84558,,,3.335016489,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
135,DecisionTree,gini,3,338230,84558,,,2.866889715,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
136,DecisionTree,entropy,3,338230,84558,,,3.319371223,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
137,DecisionTree,log_loss,3,338230,84558,,,3.381917953,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
138,DecisionTree,gini,3,338230,84558,,,2.898506403,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
139,DecisionTree,entropy,3,338230,84558,,,3.333799124,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
140,DecisionTree,log_loss,3,338230,84558,,,3.288277864,0.669437956,0.671066014,0.73664975,0.671066014,0.583092258,0.614210152,0.920058655,17843,24434,3380,38901
141,DecisionTree,gini,3,338230,84558,,,2.871905804,0.669709961,0.671562714,0.737345842,0.671562714,0.583965006,0.614325112,0.921974409,17804,24473,3299,38982
